text,category,priority
talaab par kabza ho raha hai Gram Kachhona gaon mein,Rural Development (Panchayati Raj),Medium
street light pole looking tilted in Sitapur One,Electricity (UPPCL),Low
phone chori ho gaya Block Malihabad market me,Police (Home Dept),Medium
"need a sign board direction for Sigra, Varanasi village",Roads (PWD/NHAI),Low
public toilet tap is dripping in Barabanki Town,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
bijli ka bill bahut jyada aaya hai Raebareli Market mein,Electricity (UPPCL),Medium
"street light pole looking tilted in Hazratganj, Lucknow",Electricity (UPPCL),Low
"open manhole on main road in Raebareli Market, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
ganda paani nalo se aa raha hai Basti area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
frequent power cuts in Etawah Main is affecting exam preparation,Electricity (UPPCL),Medium
"clean water nahi aa raha hai Raebareli Market mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
bijli ka bill bahut jyada aaya hai Unnao City mein,Electricity (UPPCL),Medium
phone chori ho gaya Faizabad Chowk market me,Police (Home Dept),Medium
water pipeline leakage wasting water in Noida Sector 18,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
loudspeaker shor kar raha hai Gram Kachhona mein raat ko,Police (Home Dept),Medium
"child kidnapped from Gomti Nagar, Lucknow school area",Police (Home Dept),High
" मच्छर बहुत हो गए हैं Orai में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"chori ho gayi hai Bareilly Cantt mein, police bhejo",Police (Home Dept),High
street light pole looking tilted in Etawah Main,Electricity (UPPCL),Low
"flood water entered village houses in Village Chhata, need rescue",Rural Development (Panchayati Raj),High
public toilet tap is dripping in Faizabad Chowk,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
x-ray machine kharab hai Post Kakori mein,Health (Medical),Medium
sadak par bada gadda hai Tehsil Bikapur market ke paas,Roads (PWD/NHAI),High
fake medicine racket operating in Tehsil Bikapur medical stores,Health (Medical),High
"sewage water mixing with drinking water in Block Malihabad, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
request to start sewing center for women in Village Rampur,Rural Development (Panchayati Raj),Low
phone chori ho gaya Agra Fort area market me,Police (Home Dept),Medium
internet nahi chal raha Village Rampur panchayat bhavan me,Rural Development (Panchayati Raj),Low
talaab par kabza ho raha hai Mau Tehsil gaon mein,Rural Development (Panchayati Raj),Medium
park needs cleaning in Raebareli Market residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
pradhan ne paisa kha liya Post Kakori road ka,Rural Development (Panchayati Raj),High
public toilet tap is dripping in Village Chhata,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
handpump kharab hai Hardoi City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
fake medicine racket operating in Barabanki Town medical stores,Health (Medical),High
birth certificate spelling correction request at Basti,Health (Medical),Low
encroachment by shopkeepers on road in Sitapur One,Roads (PWD/NHAI),Medium
kachra uthane vali gaadi nahi aayi Village Chhata mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
pradhan ne paisa kha liya Block Malihabad road ka,Rural Development (Panchayati Raj),High
armed robbery in shop at Barabanki Town market last night,Police (Home Dept),High
village pond is being encroached by builder in Tehsil Bikapur,Rural Development (Panchayati Raj),Medium
street light pole looking tilted in Hardoi City,Electricity (UPPCL),Low
"child kidnapped from Sigra, Varanasi school area",Police (Home Dept),High
handpump kharab hai Village Basrehar mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
village pond is being encroached by builder in Remote area of Sonbhadra,Rural Development (Panchayati Raj),Medium
meter name change application pending in Faizabad Chowk,Electricity (UPPCL),Low
"chori ho gayi hai Village Basrehar mein, police bhejo",Police (Home Dept),High
" मच्छर बहुत हो गए हैं Noida Sector 18 में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
park needs cleaning in Mau Tehsil residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
phone chori ho gaya Bareilly Cantt market me,Police (Home Dept),Medium
mnrega ka paisa nahi mila Remote area of Sonbhadra mein,Rural Development (Panchayati Raj),High
doctor late aate hain Village Rampur hospital mein,Health (Medical),Medium
"chori ho gayi hai Gonda City mein, police bhejo",Police (Home Dept),High
"open manhole on main road in Remote area of Sonbhadra, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"clean water nahi aa raha hai Barabanki Town mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
traffic police asking for bribe at Unnao City crossing,Police (Home Dept),Medium
birth certificate spelling correction request at Post Kakori,Health (Medical),Low
"primary school roof is leaking in Gram Kachhona, dangerous for kids",Rural Development (Panchayati Raj),Medium
potholes needs repair in Noida Sector 18 before monsoon,Roads (PWD/NHAI),Medium
"open manhole on main road in Gonda City, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
request to start sewing center for women in Remote area of Sonbhadra,Rural Development (Panchayati Raj),Low
"road caved in due to heavy rain in Orai, traffic blocked",Roads (PWD/NHAI),High
armed robbery in shop at Noida Sector 18 market last night,Police (Home Dept),High
passport verification pending at Village Rampur thana for 2 weeks,Police (Home Dept),Low
meter reading galat hai Unnao City wale ghar ki,Electricity (UPPCL),Medium
character certificate chahiye Etawah Main police station se,Police (Home Dept),Low
internet nahi chal raha Village Basrehar panchayat bhavan me,Rural Development (Panchayati Raj),Low
"meter reading galat hai Sigra, Varanasi wale ghar ki",Electricity (UPPCL),Medium
dogs roaming inside the ward at Village Chhata chc,Health (Medical),Medium
internet nahi chal raha Block Malihabad panchayat bhavan me,Rural Development (Panchayati Raj),Low
potholes needs repair in Noida Sector 18 before monsoon,Roads (PWD/NHAI),Medium
zebra crossing repaint kara do Post Kakori chowk par,Roads (PWD/NHAI),Low
internet nahi chal raha Gram Kachhona panchayat bhavan me,Rural Development (Panchayati Raj),Low
huge crater in middle of road at Prayagraj City causing accidents daily,Roads (PWD/NHAI),High
general query about filing fir online for Barabanki Town resident,Police (Home Dept),Low
x-ray machine kharab hai Remote area of Sonbhadra mein,Health (Medical),Medium
mobile phone snatched while walking in Tehsil Bikapur,Police (Home Dept),Medium
"unhygienic toilets in the Sigra, Varanasi government hospital",Health (Medical),Medium
water pipeline leakage wasting water in Mau Tehsil,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"doctor refused to treat critical patient in Gomti Nagar, Lucknow phc",Health (Medical),High
internet nahi chal raha Tehsil Bikapur panchayat bhavan me,Rural Development (Panchayati Raj),Low
ladayi ho rahi hai Village Basrehar chourahe par,Police (Home Dept),High
oxygen cylinder available nahi hai Gram Panchayat Bojhi hospital me,Health (Medical),High
road construction incomplete in Block Malihabad,Roads (PWD/NHAI),Medium
doctor refused to treat critical patient in Hardoi City phc,Health (Medical),High
low voltage problem in Gonda City during evening hours,Electricity (UPPCL),Medium
meter name change application pending in Post Kakori,Electricity (UPPCL),Low
meter reading galat hai Tehsil Bikapur wale ghar ki,Electricity (UPPCL),Medium
doctor late aate hain Noida Sector 18 hospital mein,Health (Medical),Medium
"Hazratganj, Lucknow me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
doctor late aate hain Post Kakori hospital mein,Health (Medical),Medium
meter name change application pending in Gram Panchayat Bojhi,Electricity (UPPCL),Low
"phone chori ho gaya Gomti Nagar, Lucknow market me",Police (Home Dept),Medium
fake medicine racket operating in Unnao City medical stores,Health (Medical),High
mobile phone snatched while walking in Meerut City,Police (Home Dept),Medium
huge crater in middle of road at Village Basrehar causing accidents daily,Roads (PWD/NHAI),High
"live wire fell on the street in Civil Lines, Kanpur, huge danger to kids",Electricity (UPPCL),High
"open manhole on main road in Civil Lines, Kanpur, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"bridge railing toot gayi hai Sigra, Varanasi mein",Roads (PWD/NHAI),High
long waiting line for opd registration in Prayagraj City,Health (Medical),Low
"open manhole on main road in Faizabad Chowk, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"need a sign board direction for Civil Lines, Kanpur village",Roads (PWD/NHAI),Low
solar panel subsidy ki jankari chahiye Basti ke liye,Electricity (UPPCL),Low
passport verification pending at Unnao City thana for 2 weeks,Police (Home Dept),Low
zebra crossing repaint kara do Barabanki Town chowk par,Roads (PWD/NHAI),Low
kachra uthane vali gaadi nahi aayi Village Rampur mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
long waiting line for opd registration in Bareilly Cantt,Health (Medical),Low
pradhan ne paisa kha liya Gram Panchayat Bojhi road ka,Rural Development (Panchayati Raj),High
x-ray machine kharab hai Basti mein,Health (Medical),Medium
mobile phone snatched while walking in Bareilly Cantt,Police (Home Dept),Medium
mnrega ka paisa nahi mila Gram Panchayat Bojhi mein,Rural Development (Panchayati Raj),High
zebra crossing repaint kara do Prayagraj City chowk par,Roads (PWD/NHAI),Low
"ambulance nahi aa rahi Remote area of Sonbhadra mein, patient serious hai",Health (Medical),High
bridge railing toot gayi hai Barabanki Town mein,Roads (PWD/NHAI),High
ganda paani nalo se aa raha hai Noida Sector 18 area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
zebra crossing repaint kara do Sitapur One chowk par,Roads (PWD/NHAI),Low
library books request for Gram Kachhona village school,Rural Development (Panchayati Raj),Low
doctor late aate hain Gram Panchayat Bojhi hospital mein,Health (Medical),Medium
"flood water entered village houses in Post Kakori, need rescue",Rural Development (Panchayati Raj),High
"chori ho gayi hai Remote area of Sonbhadra mein, police bhejo",Police (Home Dept),High
footpath tiles broken in some places at Bareilly Cantt,Roads (PWD/NHAI),Low
poore gaon mein light nahi hai Etawah Main mein pichle 2 din se,Electricity (UPPCL),High
passport verification pending at Orai thana for 2 weeks,Police (Home Dept),Low
public toilet tap is dripping in Unnao City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
traffic police asking for bribe at Village Basrehar crossing,Police (Home Dept),Medium
internet nahi chal raha Mau Tehsil panchayat bhavan me,Rural Development (Panchayati Raj),Low
pradhan embezzled all money for road construction in Tehsil Bikapur,Rural Development (Panchayati Raj),High
park needs cleaning in Gonda City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
sadak toot gayi hai Etawah Main mein,Roads (PWD/NHAI),Medium
park needs cleaning in Gonda City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
huge crater in middle of road at Gram Kachhona causing accidents daily,Roads (PWD/NHAI),High
garbage truck not coming to Gram Panchayat Bojhi for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
park needs cleaning in Remote area of Sonbhadra residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
park needs cleaning in Gram Panchayat Bojhi residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
huge crater in middle of road at Prayagraj City causing accidents daily,Roads (PWD/NHAI),High
footpath tiles broken in some places at Post Kakori,Roads (PWD/NHAI),Low
meter reading galat hai Post Kakori wale ghar ki,Electricity (UPPCL),Medium
water pipeline leakage wasting water in Village Rampur,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
bridge railing toot gayi hai Agra Fort area mein,Roads (PWD/NHAI),High
"live wire fell on the street in Gram Kachhona, huge danger to kids",Electricity (UPPCL),High
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
internet nahi chal raha Mau Tehsil panchayat bhavan me,Rural Development (Panchayati Raj),Low
character certificate chahiye Gram Kachhona police station se,Police (Home Dept),Low
character certificate chahiye Village Chhata police station se,Police (Home Dept),Low
"clean water nahi aa raha hai Faizabad Chowk mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
bijli ka bill bahut jyada aaya hai Agra Fort area mein,Electricity (UPPCL),Medium
solar panel subsidy ki jankari chahiye Basti ke liye,Electricity (UPPCL),Low
" मच्छर बहुत हो गए हैं Sitapur One में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
solar panel subsidy ki jankari chahiye Tehsil Bikapur ke liye,Electricity (UPPCL),Low
vaccine kab lagega Raebareli Market center par?,Health (Medical),Low
library books request for Village Rampur village school,Rural Development (Panchayati Raj),Low
footpath tiles broken in some places at Mau Tehsil,Roads (PWD/NHAI),Low
general query about filing fir online for Block Malihabad resident,Police (Home Dept),Low
footpath tiles broken in some places at Orai,Roads (PWD/NHAI),Low
x-ray machine kharab hai Block Malihabad mein,Health (Medical),Medium
solar panel subsidy ki jankari chahiye Remote area of Sonbhadra ke liye,Electricity (UPPCL),Low
doctor refused to treat critical patient in Basti phc,Health (Medical),High
encroachment by shopkeepers on road in Bareilly Cantt,Roads (PWD/NHAI),Medium
fake medicine racket operating in Gram Panchayat Bojhi medical stores,Health (Medical),High
pradhan ne paisa kha liya Village Basrehar road ka,Rural Development (Panchayati Raj),High
"ambulance nahi aa rahi Etawah Main mein, patient serious hai",Health (Medical),High
street light pole looking tilted in Prayagraj City,Electricity (UPPCL),Low
oxygen cylinder available nahi hai Barabanki Town hospital me,Health (Medical),High
"Village Basrehar me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
village pond is being encroached by builder in Village Rampur,Rural Development (Panchayati Raj),Medium
character certificate chahiye Remote area of Sonbhadra police station se,Police (Home Dept),Low
x-ray machine kharab hai Bareilly Cantt mein,Health (Medical),Medium
zebra crossing repaint kara do Faizabad Chowk chowk par,Roads (PWD/NHAI),Low
long waiting line for opd registration in Village Basrehar,Health (Medical),Low
passport verification pending at Post Kakori thana for 2 weeks,Police (Home Dept),Low
"road caved in due to heavy rain in Gonda City, traffic blocked",Roads (PWD/NHAI),High
armed robbery in shop at Agra Fort area market last night,Police (Home Dept),High
bridge railing toot gayi hai Unnao City mein,Roads (PWD/NHAI),High
street light pole looking tilted in Barabanki Town,Electricity (UPPCL),Low
"transformer caught fire in Sigra, Varanasi and oil is leaking",Electricity (UPPCL),High
zebra crossing repaint kara do Mau Tehsil chowk par,Roads (PWD/NHAI),Low
"long waiting line for opd registration in Hazratganj, Lucknow",Health (Medical),Low
huge crater in middle of road at Prayagraj City causing accidents daily,Roads (PWD/NHAI),High
garbage truck not coming to Sitapur One for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
library books request for Tehsil Bikapur village school,Rural Development (Panchayati Raj),Low
stray cattle destroying crops in Village Basrehar farms,Rural Development (Panchayati Raj),Medium
"road caved in due to heavy rain in Basti, traffic blocked",Roads (PWD/NHAI),High
water pipeline leakage wasting water in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"road caved in due to heavy rain in Barabanki Town, traffic blocked",Roads (PWD/NHAI),High
"sadak toot gayi hai Civil Lines, Kanpur mein",Roads (PWD/NHAI),Medium
"live wire fell on the street in Sigra, Varanasi, huge danger to kids",Electricity (UPPCL),High
park needs cleaning in Hardoi City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
traffic police asking for bribe at Hardoi City crossing,Police (Home Dept),Medium
"sewage water mixing with drinking water in Basti, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
internet nahi chal raha Gram Kachhona panchayat bhavan me,Rural Development (Panchayati Raj),Low
"chori ho gayi hai Civil Lines, Kanpur mein, police bhejo",Police (Home Dept),High
internet nahi chal raha Village Rampur panchayat bhavan me,Rural Development (Panchayati Raj),Low
"ambulance nahi aa rahi Bareilly Cantt mein, patient serious hai",Health (Medical),High
transformer caught fire in Gram Panchayat Bojhi and oil is leaking,Electricity (UPPCL),High
zebra crossing repaint kara do Raebareli Market chowk par,Roads (PWD/NHAI),Low
village pond is being encroached by builder in Post Kakori,Rural Development (Panchayati Raj),Medium
street light pole looking tilted in Block Malihabad,Electricity (UPPCL),Low
character certificate chahiye Gram Panchayat Bojhi police station se,Police (Home Dept),Low
birth certificate spelling correction request at Village Chhata,Health (Medical),Low
huge crater in middle of road at Village Chhata causing accidents daily,Roads (PWD/NHAI),High
dogs roaming inside the ward at Agra Fort area chc,Health (Medical),Medium
frequent power cuts in Faizabad Chowk is affecting exam preparation,Electricity (UPPCL),Medium
meter name change application pending in Sitapur One,Electricity (UPPCL),Low
solar panel subsidy ki jankari chahiye Raebareli Market ke liye,Electricity (UPPCL),Low
long waiting line for opd registration in Village Basrehar,Health (Medical),Low
bridge railing toot gayi hai Etawah Main mein,Roads (PWD/NHAI),High
transformer caught fire in Meerut City and oil is leaking,Electricity (UPPCL),High
talaab par kabza ho raha hai Village Chhata gaon mein,Rural Development (Panchayati Raj),Medium
frequent power cuts in Mau Tehsil is affecting exam preparation,Electricity (UPPCL),Medium
pradhan embezzled all money for road construction in Post Kakori,Rural Development (Panchayati Raj),High
solar panel subsidy ki jankari chahiye Tehsil Bikapur ke liye,Electricity (UPPCL),Low
village pond is being encroached by builder in Gram Panchayat Bojhi,Rural Development (Panchayati Raj),Medium
mobile phone snatched while walking in Ghaziabad,Police (Home Dept),Medium
"Meerut City me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
traffic police asking for bribe at Village Basrehar crossing,Police (Home Dept),Medium
"flood water entered village houses in Gram Kachhona, need rescue",Rural Development (Panchayati Raj),High
doctor refused to treat critical patient in Post Kakori phc,Health (Medical),High
huge crater in middle of road at Village Rampur causing accidents daily,Roads (PWD/NHAI),High
park needs cleaning in Agra Fort area residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
stray cattle destroying crops in Mau Tehsil farms,Rural Development (Panchayati Raj),Medium
"phone chori ho gaya Civil Lines, Kanpur market me",Police (Home Dept),Medium
pradhan embezzled all money for road construction in Post Kakori,Rural Development (Panchayati Raj),High
pradhan embezzled all money for road construction in Block Malihabad,Rural Development (Panchayati Raj),High
"fake medicine racket operating in Civil Lines, Kanpur medical stores",Health (Medical),High
"primary school roof is leaking in Mau Tehsil, dangerous for kids",Rural Development (Panchayati Raj),Medium
frequent power cuts in Agra Fort area is affecting exam preparation,Electricity (UPPCL),Medium
fake medicine racket operating in Remote area of Sonbhadra medical stores,Health (Medical),High
request to start sewing center for women in Village Chhata,Rural Development (Panchayati Raj),Low
mobile phone snatched while walking in Remote area of Sonbhadra,Police (Home Dept),Medium
traffic police asking for bribe at Faizabad Chowk crossing,Police (Home Dept),Medium
mobile phone snatched while walking in Village Chhata,Police (Home Dept),Medium
bridge railing toot gayi hai Faizabad Chowk mein,Roads (PWD/NHAI),High
birth certificate spelling correction request at Meerut City,Health (Medical),Low
"Gonda City me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
talaab par kabza ho raha hai Gram Panchayat Bojhi gaon mein,Rural Development (Panchayati Raj),Medium
handpump kharab hai Village Rampur mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
oxygen cylinder available nahi hai Noida Sector 18 hospital me,Health (Medical),High
stray cattle destroying crops in Gram Panchayat Bojhi farms,Rural Development (Panchayati Raj),Medium
zebra crossing repaint kara do Faizabad Chowk chowk par,Roads (PWD/NHAI),Low
meter name change application pending in Bareilly Cantt,Electricity (UPPCL),Low
encroachment by shopkeepers on road in Raebareli Market,Roads (PWD/NHAI),Medium
unhygienic toilets in the Gonda City government hospital,Health (Medical),Medium
ganda paani nalo se aa raha hai Noida Sector 18 area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
talaab par kabza ho raha hai Village Rampur gaon mein,Rural Development (Panchayati Raj),Medium
general query about filing fir online for Unnao City resident,Police (Home Dept),Low
traffic police asking for bribe at Faizabad Chowk crossing,Police (Home Dept),Medium
child kidnapped from Tehsil Bikapur school area,Police (Home Dept),High
birth certificate spelling correction request at Meerut City,Health (Medical),Low
"loudspeaker shor kar raha hai Sigra, Varanasi mein raat ko",Police (Home Dept),Medium
need a sign board direction for Meerut City village,Roads (PWD/NHAI),Low
library books request for Post Kakori village school,Rural Development (Panchayati Raj),Low
low voltage problem in Block Malihabad during evening hours,Electricity (UPPCL),Medium
encroachment by shopkeepers on road in Noida Sector 18,Roads (PWD/NHAI),Medium
library books request for Remote area of Sonbhadra village school,Rural Development (Panchayati Raj),Low
general query about filing fir online for Hardoi City resident,Police (Home Dept),Low
bridge railing toot gayi hai Mau Tehsil mein,Roads (PWD/NHAI),High
"road caved in due to heavy rain in Barabanki Town, traffic blocked",Roads (PWD/NHAI),High
"child kidnapped from Gomti Nagar, Lucknow school area",Police (Home Dept),High
"open manhole on main road in Sitapur One, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"ladayi ho rahi hai Sigra, Varanasi chourahe par",Police (Home Dept),High
water pipeline leakage wasting water in Etawah Main,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
bridge railing toot gayi hai Village Basrehar mein,Roads (PWD/NHAI),High
"sewage water mixing with drinking water in Meerut City, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"flood water entered village houses in Post Kakori, need rescue",Rural Development (Panchayati Raj),High
unhygienic toilets in the Block Malihabad government hospital,Health (Medical),Medium
"sewage water mixing with drinking water in Raebareli Market, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
doctor late aate hain Village Rampur hospital mein,Health (Medical),Medium
general query about filing fir online for Noida Sector 18 resident,Police (Home Dept),Low
long waiting line for opd registration in Mau Tehsil,Health (Medical),Low
bridge railing toot gayi hai Gonda City mein,Roads (PWD/NHAI),High
armed robbery in shop at Mau Tehsil market last night,Police (Home Dept),High
"Village Rampur me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
stray cattle destroying crops in Village Chhata farms,Rural Development (Panchayati Raj),Medium
handpump kharab hai Remote area of Sonbhadra mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
loudspeaker shor kar raha hai Hardoi City mein raat ko,Police (Home Dept),Medium
dogs roaming inside the ward at Barabanki Town chc,Health (Medical),Medium
character certificate chahiye Remote area of Sonbhadra police station se,Police (Home Dept),Low
armed robbery in shop at Etawah Main market last night,Police (Home Dept),High
general query about filing fir online for Agra Fort area resident,Police (Home Dept),Low
